NCA1,NCA2,Macro_Desastre
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-110731.23875950389,11632.613378135311,Inundações e Chuvas
-147366.7918917667,8303.479980410495,Seca e Estiagem
-128253.59950405508,13046.842531782673,Seca e Estiagem
-130283.74193642949,12508.68944829079,Seca e Estiagem
-1096378.4432363836,-438887.54109591554,Seca e Estiagem
27766.663876041814,-3800.9360851213205,Tempestades Severas
-297663.690864875,-27615.15409279596,Seca e Estiagem
-70302.53609610225,10646.016324809658,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Incêndios Florestais
762259.3558389114,-163274.0398826433,Inundações e Chuvas
-398302.57969240454,-87560.54910536169,Seca e Estiagem
-128891.6692899486,12968.774217935717,Tempestades Severas
-195796.0941713444,-14997.715633057229,Seca e Estiagem
-118863.68905044842,-6747.194305001441,Inundações e Chuvas
-91388.71846468396,6875.252730226873,Inundações e Chuvas
-10134.250139941865,-55459.46033098979,Tempestades Severas
-891833.4115812448,-367824.5630854566,Seca e Estiagem
-130082.38833120634,12688.34405118639,Seca e Estiagem
-45211.12243919041,-5351.406904376852,Inundações e Chuvas
-137919.2068073408,11337.946429544592,Seca e Estiagem
-150093.05532881283,3799.3973603575923,Seca e Estiagem
-153376.20193148215,6604.959328463386,Seca e Estiagem
-338012.6601383846,-87570.5334652898,Seca e Estiagem
-149513.9513257081,4623.783237959028,Seca e Estiagem
-123762.6523133928,12155.69455835679,Inundações e Chuvas
-163583.32147164078,-590.8547996387991,Seca e Estiagem
2608449.2759418483,2516170.97479535,Inundações e Chuvas
-143892.2265852592,30452.02572215224,Tempestades Severas
-128253.59950405508,13046.842531782673,Incêndios Florestais
-128253.0068732879,13050.31508775946,Inundações e Chuvas
-123284.79350390066,11631.827383363658,Inundações e Chuvas
-109802.83152976316,11717.522514057717,Inundações e Chuvas
219625.53526495263,-57109.564294706004,Inundações e Chuvas
-1297514.358180296,-566934.6988900888,Seca e Estiagem
-118932.5050490251,12393.892769997237,Inundações e Chuvas
6861.250195311016,57177.09806230324,Inundações e Chuvas
515309.4280248544,512438.75630115706,Inundações e Chuvas
-113535.36379900434,17694.211179045666,Inundações e Chuvas
-151828.10605851133,5719.217233610326,Seca e Estiagem
-149647.95621927068,7740.167866448825,Seca e Estiagem
-329546.6723142519,-46975.49196423368,Seca e Estiagem
-128253.59950405508,13046.842531782673,Incêndios Florestais
-138236.57931410221,11246.842578062297,Seca e Estiagem
-128253.59950405508,13046.842531782673,Tempestades Severas
-183061.0464150698,-6872.323221906657,Seca e Estiagem
-128307.19736607015,13040.284793419529,Inundações e Chuvas
-148571.50204395555,8089.576555872024,Seca e Estiagem
-128334.32765657548,13010.773620329759,Inundações e Chuvas
-5852.819570233122,-56413.78054455282,Seca e Estiagem
-128253.59950405508,13046.842531782673,Incêndios Florestais
547975.873493446,-56557.39968033573,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
2740.5850266474213,-22376.589549947876,Inundações e Chuvas
-169258.54595503086,-1825.6813881107416,Seca e Estiagem
-139775.17343035358,9595.96160151368,Seca e Estiagem
-9848.827973865893,-16609.326925944817,Inundações e Chuvas
-80578.68242466768,4890.969519654149,Inundações e Chuvas
876707.342132487,-421448.7498245703,Inundações e Chuvas
-128272.74159763189,13044.500482367264,Deslizamentos
-174914.4862495118,2935.34875422401,Seca e Estiagem
-128253.59950405508,13046.842531782673,Seca e Estiagem
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-146794.63064615364,6510.89004051157,Seca e Estiagem
-268562.6220821263,-33428.9525786475,Seca e Estiagem
-146790.306364717,7296.288348937424,Seca e Estiagem
-139823.60552037982,10330.268571897135,Seca e Estiagem
-128253.59950405508,13046.842531782673,Incêndios Florestais
-148012.00367675145,7284.875310498764,Seca e Estiagem
-132124.194822421,7107.01096319394,Incêndios Florestais
-82211.91402481265,27877.98506864508,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Inundações e Chuvas
-128287.58288245634,13029.588759194687,Incêndios Florestais
-126909.58164715488,12799.678772753816,Tempestades Severas
-126899.37253058059,12800.927865775368,Inundações e Chuvas
-128253.59950405508,13046.842531782673,Tempestades Severas
-128253.59950405508,13046.842531782673,Incêndios Florestais
