T-SNE1,T-SNE2,Macro_Desastre
-22.571262,6.3975086,Seca e Estiagem
-29.976965,1.0486603,Seca e Estiagem
22.936768,-25.302954,Incêndios Florestais
-22.576075,6.404475,Seca e Estiagem
1.6491843,26.154665,Incêndios Florestais
30.182453,4.0883694,Inundações e Chuvas
18.234653,-30.196304,Inundações e Chuvas
23.20251,-25.54856,Inundações e Chuvas
8.567052,-27.470938,Incêndios Florestais
36.912548,-9.316671,Tempestades Severas
36.912426,-9.320448,Inundações e Chuvas
23.462965,-25.785355,Tempestades Severas
23.910786,-26.323988,Incêndios Florestais
21.146847,-28.374863,Inundações e Chuvas
2.1158576,27.5692,Tempestades Severas
21.146847,-28.374863,Inundações e Chuvas
-13.879067,-9.252696,Seca e Estiagem
21.146847,-28.374863,Inundações e Chuvas
-28.729258,-9.418678,Seca e Estiagem
47.090805,10.284033,Tempestades Severas
17.317041,9.114258,Inundações e Chuvas
42.77097,24.633825,Tempestades Severas
-57.822956,4.202746,Seca e Estiagem
12.244973,21.327978,Inundações e Chuvas
4.636068,9.741745,Inundações e Chuvas
42.974174,-4.1240788,Tempestades Severas
12.379991,-21.399422,Deslizamentos
-36.122097,-9.898243,Inundações e Chuvas
-49.649284,7.0933046,Inundações e Chuvas
21.146847,-28.374863,Inundações e Chuvas
35.725197,35.498314,Inundações e Chuvas
21.146847,-28.374863,Inundações e Chuvas
-2.1518736,-11.140727,Seca e Estiagem
-6.4374375,-17.529737,Seca e Estiagem
1.4347168,-16.621174,Seca e Estiagem
-14.37115,13.35798,Seca e Estiagem
-8.4221735,-17.054806,Seca e Estiagem
-65.928635,-32.441227,Seca e Estiagem
-17.775703,-4.904961,Seca e Estiagem
17.532116,10.70784,Inundações e Chuvas
-28.878164,25.651585,Seca e Estiagem
21.146847,-28.374863,Incêndios Florestais
21.146847,-28.374863,Inundações e Chuvas
11.180737,-4.4879904,Inundações e Chuvas
51.22634,1.6857265,Tempestades Severas
-8.593126,-5.9614677,Seca e Estiagem
44.360905,14.284827,Inundações e Chuvas
-13.879067,-9.252696,Seca e Estiagem
-58.04291,4.7355156,Seca e Estiagem
36.712097,-0.5230154,Inundações e Chuvas
-14.537301,-9.532604,Seca e Estiagem
20.862951,30.16511,Inundações e Chuvas
21.146847,-28.374863,Inundações e Chuvas
51.92672,-4.9614015,Tempestades Severas
-18.531687,-6.418212,Seca e Estiagem
21.146847,-28.374863,Inundações e Chuvas
-36.801136,-9.0065155,Inundações e Chuvas
-10.601611,5.079434,Seca e Estiagem
-62.746815,-14.160863,Seca e Estiagem
42.379974,20.358934,Tempestades Severas
21.146847,-28.374863,Incêndios Florestais
-56.33398,-9.668937,Seca e Estiagem
29.706896,-5.9033804,Inundações e Chuvas
-19.472202,-12.582086,Seca e Estiagem
21.146847,-28.374863,Seca e Estiagem
-36.506905,19.022324,Seca e Estiagem
37.12706,-4.746509,Inundações e Chuvas
-0.50956345,-22.167145,Incêndios Florestais
-29.064753,-9.6007805,Seca e Estiagem
21.146847,-28.374863,Seca e Estiagem
-36.58706,-8.71207,Seca e Estiagem
10.343038,24.436563,Inundações e Chuvas
9.911442,5.7219605,Inundações e Chuvas
21.146847,-28.374863,Incêndios Florestais
-57.073402,4.8090053,Seca e Estiagem
-27.392601,-3.2272751,Seca e Estiagem
-57.313328,-12.420235,Seca e Estiagem
39.782093,14.634012,Inundações e Chuvas
24.899448,28.34768,Inundações e Chuvas
-40.113506,-10.692284,Seca e Estiagem
-14.515714,12.954251,Seca e Estiagem
21.146847,-28.374863,Incêndios Florestais
21.146847,-28.374863,Inundações e Chuvas
-33.00269,-8.432178,Seca e Estiagem
-1.1968098,-18.014778,Seca e Estiagem
-30.61646,8.230864,Seca e Estiagem
-37.466465,3.3161047,Seca e Estiagem
-51.695377,1.6551213,Seca e Estiagem
-35.588142,22.11345,Seca e Estiagem
-4.9188914,18.20302,Seca e Estiagem
-6.9064507,-5.0236382,Inundações e Chuvas
10.350119,11.93083,Inundações e Chuvas
16.69607,26.219595,Inundações e Chuvas
27.051802,14.151329,Inundações e Chuvas
